circuit,country,location,deg_rating,deg_notes,track_archetypes,track_data_available
Albert Park Grand Prix Circuit,Australia,Melbourne,medium,"Street circuit with a mix of high and low speed corners, and a long straight. The track surface is abrasive, which can lead to increased tire wear.",street; balanced,1  
Shanghai International Circuit,China,Shanghai,high,"Permanent circuit with a mix of massive straights and long, tightening corners. The surface is relatively smooth, but intense lateral loads force high thermal degradation and front-left tire wear.",high_deg; balanced,1
Suzuka Circuit,Japan,Suzuka,high,"Permanent figure-eight circuit featuring iconic, high-speed sweeping bends like the Esses and 130R. The combination of old, highly abrasive tarmac and relentless, high-speed lateral forces subjects the tyres to extreme energy loads and severe thermal degradation.",high_speed_sweeping; high_deg,1
Bahrain International Circuit,Bahrain,Sakhir,high,"Permanent circuit built on abrasive tarmac with heavy traction and braking zones. The harsh surface and hot desert conditions cause extreme rear tire wear and severe thermal degradation.",high_deg; balanced,1
Jeddah Corniche Circuit,Saudi Arabia,Jeddah,low,"Temporary street circuit that contains mostly high speed corners over tight chicanes, low asphalt abrasion, and is one of the fastest tracks on the calendar.",street; high_speed; power,1
Miami International Autodrome,USA,Miami,medium,"Temporary street circuit with a long, high speed straight with a tight chicane, while the asphalt has low abrasion, the Florida heat subjects tires to high thermal degradation.",street; balanced,1
Circuit de Gilles Villeneuve,Canada,Montréal,medium,"Semi-permanent street circuit with long straights and low-speed chicanes and heavy braking zones. Track surface is relatively smooth and low tire wear , its low-grip nature causes the cars to slide heavily. Causing rear tire graining.",power; street,1
Circuit de Monaco,Monaco,Monaco,low,"Tight and historic street circuit with exceptionally smooth asphalt. This results in virtually zero physical tire wear, allowing teams to comfortably run a one-stop strategy with extremely long stints—sometimes lasting nearly the entire race distance.",street; high_downforce; qualifying,1
Circuit de Barcelona-Catalunya,Spain,Barcelona,high,"Permanent circuit with abrasive and rough asphalt acts like sandpaper, scrubbing away tyre tread and generating intense friction. This combination of heavy cornering forces and a harsh track surface causes rapid thermal degradation and physical wear.",high_deg; balanced,1
Red Bull Ring,Austria,Spielberg,medium,"Permanent circuit with old, abrasive asphalt surface paired with heavy braking zones and sharp acceleration points that heavily stress the rear tires. Despite the lack of long, high-energy sweeping corners keeps mechanical wear relatively low, the constant traction demands lead to high thermal degradation.",high_speed_sweeping; power,1
Silverstone Circuit,United Kingdom,Silverstone,high,"Permanent circuit with many high speed corners and quite rough and abrasive asphalt. With drivers carrying a ton of speed through long, sweeping corners, its hard to manage the temp of the tires throughout the race.",high_speed_sweeping; power,1
Spa-Francorchamps,Belgium,Spa-Francorchamps,high,"Permanent circuit with extreme vertical loads through corners like Eau Rouge puts immense stress on tires with a mix of high speed sweeping corners and having one of the longest track lengths means the tires are kept at high temps for longer periods of time.",high_speed_sweeping; power; technical,1
Hungaroring,Hungary,Budapest,high,"Permanent circuit with a tight and twisty layout that generates high tire wear due to constant cornering and braking. With it being held in the peak of summer, high track temperatures exacerbate thermal degradation, making tire management crucial for success at this venue.",high_downforce; technical; high_deg,1
Zandvoort,Netherlands,Zandvoort,high,"Permanent circuit with its unique banked corners and many corners with a lack of straights and the high number of fast right-hand turns puts extreme mechanical wear and thermal stress on the front-left tire.",high_speed_sweeping; high_downforce,1
Monza,Italy,Monza,low,"Permanent circuit known for its long straights and high-speed corners, along with a recent track resurfacing that has resulted in a smoother surface. A combination that results in lower tire wear and thermal degradation.",power; high_speed,1
Madring,Spain,Madrid,unknown,unknown,power; high_speed,0
Baku City Circuit,Azerbaijan,Baku,low,"Temporary street circuit with long straights and tight corners. Race often starts with quite low grip. The low wear rate and contained lateral loads mean tire degradation is minimal, often resulting in a traditional one-stop race.",street; power,1
Marina Bay Street Circuit,Singapore,Marina Bay,medium,"Temporary steet circuit with long straights and tight slow speed corners with quite abrasive asphalt. Ambient and track temps are extremely high creating higher thermal degradation. However, as overtaking is incredibly difficult, drivers tend to manage their tires and opt for a one stop strategy.",street; high_downforce,1
Circuit of the Americas,USA,Austin,medium,"Permanent circuit with a mix of high-speed and low speed corners with long straights. The track surface is relatively smooth, but the combination of heavy braking zones and high-speed corners leads to moderate tire wear and thermal degradation.",balanced; high_speed_sweeping,1
Autodromo Hermanos Rodriguez,Mexico,Mexico City,low,"Permanent circuit with exceptionally smooth asphalt and high altitude that reduces grip. Even with the tight corners and chicanes, the 1.2 kilometre long main straight allows for significant cooling of the tires, resulting in low tire wear.",high_altitude; power,1
Interlagos,Brazil,São Paulo,medium,"Permanent counter clock wise circuit that puts more stress on the right side tires. Alongside a more abrasive surface and unpredictable weather conditions, tire wear can be difficult to predict and manage.",technical; power,1
Las Vegas Strip Circuit,USA,Las Vegas,low,"Temporary street circuit with long straights and tight corners. Low track temperatures results in virtually no thermal degradation, but heavy braking zones and corners on cold, low-grip tires can cause graining if not managed properly.",power; street; cold_track,1
Lusail International Circuit,Qatar,Lusail,high,"Permanent circuit with probably the highest stress on tire wear. Most corners are high speed and sustained high lateral G forces alongside high track temperatures with the desert heat. A maximum of 25 laps can be done with a set of tires.",high_deg; high_speed_sweeping; power,1
Yas Marina Circuit,UAE,Yas Island,medium,"Permanent circuit with long straights and high speed braking zones with a unique time of transition from day to night which drops the track temp as the race goes on. Most teams usually opt for a 1 stop strategy here.",balanced; technical,1